ebc7ff77-a7e1-4967-b14a-de86f6dfe024;"891";"Carracci";"Der heilige Sebastian wird von der heiligen Irene und einer Dienerin gepflegt"
b50243e7-b212-4a64-83fb-8dadd7eb134f;"893";"Veronese, Paolo";"Mars und Venus"
51de2392-9474-48d3-aa35-581b798144a4;"894";"Roos, Johann Heinrich";"Zigeunerlager in einer römischen Ruine"
95858632-29ac-41f0-9d02-3ac35ec004c4;"895";"Schadow, Wilhelm von";"Das Gleichnis von den klugen und törichten Jungfrauen"
995ac868-cdc6-4f41-9ebe-21f6467d46a6;"898";"Steen, Jan";"Ein Goldschmied schmilzt in Anwesenheit eines Notars den Schmuck einer Frau ein: "Der Alchemist"
4caa4f5b-2ea3-4549-86d1-0ca8a9e90dbe;"901";"Lessing, Carl Friedrich";"Jan Hus zu Konstanz"
e375791d-43d4-4f01-a290-9a68b826bbde;"910";"Becker, Jakob";"Der vom Blitz erschlagene Schäfer"
b469f99b-4fab-4fbb-abe9-1bece019fb4b;"915";"Schwind, Moritz von";"Elfentanz im Erlenhain"
83b45f41-38bc-4c31-b557-efd89b5f7959;"916";"Moretto da Brescia";"Thronende Madonna mit Kind und den vier lateinischen Kirchenvätern"
e908a537-63ff-4ae1-a5a6-9dd7318f7d8a;"917";"Franchoys II, Lucas";"Bildnis eines Mannes"
c65b7945-bd9b-403a-aeff-91a5036f5004;"918";"Bol, Ferdinand";"Bildnis eines jungen Mannes"
ac08a033-5e64-4a0f-bbc7-8e3dae3db6cd;"919";"Beham, Barthel";"Bildnis des Hans Urmiller mit seinem Sohn"
877b9414-e75a-4ded-b59e-4e90ce3bcf69;"920";"Christus, Petrus";"Madonna mit Kind und den Heiligen Hieronymus und Franziskus"
8f02ba04-c386-481b-af15-e562f3e7c664;"937";"Dürer, Albrecht";"Bildnis einer jungen Frau mit offenem Haar"
213d6982-3a00-440c-b810-2f920abaddb1;"952";"Rosso Fiorentino";"Madonna mit Kind und Johannesknaben"
5e4993fc-a9ae-4f0c-901a-250c11b1390e;"976";"Garofalo";"Die Heilige Familie"
258ab763-66c5-42aa-a568-6e328d9d45b2;"977";"Savery, Roelant";"Orpheus unter den Tieren"
308d2004-0db0-49d2-a6e4-3cf7b8dc7bcf;"980";"Neroccio di Bartolomeo di Benedetto de' Landi";"Madonna mit Kind und den Heiligen Petrus und Paulus"
76bd5d7e-eaf8-4b87-8a9c-5b1e64ccd5fd;"982";"Ramboux, Johann Anton";"Kapuzinerpredigt im Colosseum zu Rom"
8c38c6e9-8591-46eb-b298-6796c0ffd3b3;"983";"Olivier, Ferdinand";"Pilgerzug im Walde"
64d6ea8d-44bb-49c5-9772-a6a268ed3fce;"1002";"Paolo di Giovanni Fei";"Die heilige Katharina von Alexandrien"
3284cdf2-83f4-4acf-b88b-7fcfce130d93;"1006";"Niccolò di Buonaccorso";"Madonna (Fragment)"
9d4baa5a-8583-4f34-aac8-89bca7503144;"1009";"Tiepolo, Giovanni Domenico";"Die Enthaltsamkeit Scipios"
011c4877-8d9a-47fb-aedd-4ada286946b7;"1011";"Lessing, Carl Friedrich";"Die tausendjährige Eiche"
0d5966df-1117-4cad-b387-1c3c9c489abe;"1039";"Brouwer, Adriaen";"Die Operation am Fuß"
9a1d948f-bc83-4ab8-ac00-9bac231ced3b;"1041";"Heem, Jan Davidsz. de";"Prunkstillleben mit Früchten, Pastete und Trinkgeschirr"
a8d4d1a0-5c1a-47fa-aea5-866f7fa3bbab;"1045";"Velázquez, Diego";"Bildnis des Kardinals Gaspar de Borja y Velasco"
36767879-3d2c-486f-9def-88c558428a58;"1050";"Brouwer, Adriaen";"Die Operation am Rücken"
bca4c19d-589f-45c9-b370-0fbb51410696;"1051";"Berckheyde, Gerrit Adriaensz.";"Das Stadthaus in Amsterdam"
3b83e4e1-8581-46bd-a1bf-6ef01bed1dc0;"1055";"Borch d. J., Gerard ter";"Dame mit Weinglas"
532a3d68-d699-4d31-9e83-f8e67dbb2b45;"1057";"Weenix, Jan Baptist";"Römischer Kesselflicker"
959857da-c845-40a4-8f03-df61140f9217;"1060";"Stevens, Pieter";"Waldlandschaft mit Einsiedlerklause"
ca499795-52a6-4e4d-8f63-710c327b789c;"1065";"Holbein d. J., Hans";"Bildnis des Simon George of Cornwall"
8399d149-868e-462b-83cb-604a2d475a71;"1066";"Cranach d. Ä., Lucas";"Kreuzigung Christi"
546377ef-11d5-4efe-990e-6e54a5bbbf03;"1071";"Goyen, Jan van";"Das Haarlemer Meer"
4119a4a3-16b3-4bf8-a1dd-4ba46f615eac;"1078";"Fiorenzo di Lorenzo";"Thronende Madonna mit Kind und den Heiligen Christophorus und Sebastian"
fa922785-da34-44d8-bc67-95ad3e673fd8;"1082";"Dou, Gerrit";"Frau beim Ordnen des Abendbrottisches"
b74527c8-ffa0-49d8-a823-d803524d7336;"1091";"David, Gerard";"Der heilige Hieronymus in der Wildnis"
7eb0dae8-c571-4468-a307-08b4436c09d8;"1093";"Richter, Ludwig";"Gewitter am Monte Serone bei Olevano in den Sabiner Bergen"
dd00dcc0-8740-4c31-91d3-6889d5f258d9;"1095";"David, Gerard";"Verkündigung Mariens"
cc601a8a-f683-40cb-88b2-615a755b0175;"1096";"Steen, Jan";"Moses schlägt Wasser aus dem Fels"
ccba9a6c-b82d-4f3a-b947-197ffc500446;"1103";"Reni, Guido";"Christus an der Geißelsäule"
5044621f-6d54-4568-ae4b-f96601219f67;"1106";"Clouet, François";"Bildnis der Beatrix Pacheco, Gräfin von Montbel und Entremonts"
33ee5c6a-83ce-4408-93ab-e7a9473d9bab;"1109";"Ruisdael, Jacob Isaacksz. van";"Winterlandschaft bei Haarlem mit einem Laternenpfahl"
27c5ea51-4438-447c-ad03-ecad76cf025c;"1112";"Ruysdael, Salomon van";"Fischer- und Segelboote unter weitem Himmel"
df491375-7455-47db-8e75-9237609771c2;"1113";"Brueghel d. Ä., Jan";"Die Verspottung der Latona"
17a7414c-bbc1-4577-9931-554aa5a407c2;"1114";"Veit, Philipp";"Die Einführung der Künste in Deutschland durch das Christentum"
554a3a67-9ee9-4e15-8fd2-a79f9472ac4c;"1115";"Veit, Philipp";"Italia"
bbd2eb28-acf5-43de-aa82-79ac843da608;"1116";"Veit, Philipp";"Germania"
7e89d2b2-59d5-4b0d-89e9-5b0674f946c0;"1125";"Cranach d. Ä., Lucas";"Venus"
92eb505b-50b2-4faa-975b-e3c6502252bd;"1130";"Roos, Johann Heinrich";"Bildnis des Nicolaus Ruland (1618-1686) (?)"
bcd5a9da-b23f-4fb0-94ce-a6bb70421e92;"1133";"Tizian";"Bildnis eines jungen Mannes"
cbd91e39-ada2-487c-9547-c79412b9b1d5;"1134";"Kraus, Georg Melchior";"Familie bei der Mahlzeit"
18357a8f-26a9-4c22-b8fe-38bced89099b;"1135";"Kraus, Georg Melchior";"Familie beim Mittagessen in einem Dorfwirtshaus"
a468eb0b-18b8-4c89-a04e-e232205ce59c;"1136";"Bronzino, Agnolo";"Bildnis einer Dame in Rot (Francesca Salviati?)"
a0a39a28-de01-40a8-b1f4-83df7373cc63;"1144";"Fries, Ernst";"Gebirgslandschaft"
878d1d88-da28-41e5-b040-f05ae1aa79f4;"1149";"Vermeer, Johannes";"Der Geograf"
97661b6f-a4b8-4c87-adb7-6e093e5be8fa;"1150";"Feuerbach, Anselm";"Lucrezia Borgia; Bildnis einer Römerin in weißer Tunika und rotem Mantel"
e28c0af3-3022-4e3e-bffd-d42da3903d1a;"1164";"Morgenstern, Carl";"Die Wasserfälle von Tivoli mit dem Vestatempel"
8abdc9ac-d19f-4d29-a985-b85bee53c2b6;"1168";"Burnham-Meister";"Thronende Madonna mit Kind und musizierenden Engeln"
6131257f-fdd3-4931-9ccd-2454144caca2;"1182";"Florentiner Meister um 1480";"Mucius Scaevola ermordet den Sekretär Porsennas und lässt seine rechte Hand verbrennen"
bbf7a1e1-a0c2-490e-a4b5-0935cb6ec4ce;"1183";"Baldung Grien, Hans";"Die Geburt Christi"
149ade8f-3c47-4e67-af04-9c9f6d7bf0db;"1184";"Deger, Ernst";"Bildnis eines jungen Mädchens"
4ba32b22-b61c-40dd-b1d7-fd8659414517;"1198";"Zick, Januarius";"Die Anbetung der Hirten"
2fb23da1-6800-407a-b10e-267bb2194202;"1207";"Nattier, Jean-Marc";"Bildnis des Frankfurter Bankiers Johann Georg Leerse (1691-1762)"
388c9050-08c9-409e-933d-eb6b00ad836e;"1208";"Nattier, Jean-Marc";"Bildnis der Anna Elisabeth Leerse (1698-1776)"
8a3bb7c5-deef-4087-b070-eaefbaf8e549;"1212";"Willebeeck, Peter";"Vanitas-Stillleben"
fec7d8ed-a577-4cc3-b07d-a6e61a26e1f7;"1218";"Brueghel d. J., Jan";"Waldlandschaft mit der Flucht nach Ägypten"
8261ad61-c23d-45d0-bf7b-1a6bc57ae0fc;"1219";"Brueghel d. Ä., Jan";"Blumenstillleben"
962ee3dc-ee90-4bf0-8fe7-04397d599a39;"1225";"Teniers d. J., David";"Zwei rauchende Bauern am Kohlenfeuer"
b42da30f-3b2a-4ac0-8567-19ac96a95c4c;"1233";"Bega, Cornelis Pietersz";"Wirtshausszene"
84af776a-2ed4-4196-84ec-5bd5213d7188;"1234";"Mieris d. Ä., Frans van";"Bildnis einer Frau mit Barett"
400e62ae-cd9c-41db-bee2-1900e34f49b4;"1236";"Goyen, Jan van";"Dorfstraße"
dbf5695c-cdb5-414a-9890-6346f6dec33e;"1240";"Ruisdael, Jacob Isaacksz. van";"Dünenlandschaft mit einem Plankenzaun"
ee74a95d-39b6-4b8a-97f0-46b699c48704;"1258";"Müller, Victor";"Hamlet und Horatio auf dem Kirchhof"
32c459cf-9cae-44af-ac3d-05ec778e8925;"1260";"Böcklin, Arnold";"Villa am Meer"
6942fe6e-eda3-4485-a305-9f10b0301fc8;"1269";"Badalocchio, Sisto";"Christus mit der Samariterin am Brunnen"
0fadae27-a8a8-492b-bc78-bbf1b53e8002;"1278";"Loeding, Harmen";"Stillleben mit Früchten und einer chinesischen Porzellanschüssel mit Erdbeeren"
97e40d73-0766-471b-99ae-55be22afa3d9;"1281";"Sassoferrato, Giovanni Battista Salvi gen.";"Maria, das Kind anbetend"
5552687b-387d-4c9e-a4fb-7d3184705818;"1282";"Unterberger, Ignaz";"Juno und Flora"
